state_fips,state_name,avg_nom1_111,avg_nom2_111,avg_nom1_112,avg_nom2_112,nom1_change,nom2_change,incumbent,challenger,state_orgs,state_rallies,state_totalvotes2010,state_repvotes2010,state_demvotes2010,state_othervotes2010,state_reppct2010,state_totalvotes2004,state_repvotes2004,state_demvotes2004,state_othervotes2004,state_reppct2004,state_totalvotes2006,state_repvotes2006,state_demvotes2006,state_othervotes2006,state_reppct2006,state_lastrelectpct,state_totalpop,state_blackpop,state_pctblack,state_25pop,state_badegree,state_pctba,endorsement,orgsperperson,ralliesperperson,tp_pwin_eloss,capita_100000,orgspercapita,ralliespercapita,primary_name,tpe_primary_vote,total_primary_vote,pct_tp_primary,num_cand,pop_millions,rallies_million,orgs_million,r_context,r_2010_win
17,"Illinois",-.2493333,-.2086667,-.12,-.2615,.1293333,-.0528333,0,1,101,20,3704473,1778698,1719478,206297,48.01487,5141520,1390690,3597456,72210,27.04823,,,,,,27.04823,12800000,1875767,14.67157,8309322,2473098,29.76293,1,7.90e-06,1.56e-06,0,127.8504,.7899856,.1564328,"Kirk, Mark Steven",420373,742268,56.63359,7,12.8,1.5625,7.890625,0,1
18,"Indiana",.0665,-.0755,.3405,-.6345,.274,-.559,0,1,66,11,1744481,952116,697775,94590,54.57875,2428233,903913,1496976,0,37.22514,,,,,,37.22514,6342469,548998,8.655904,4118786,903404,21.93374,1,.0000104,1.73e-06,0,63.42469,1.040604,.173434,"Coats, Daniel R.",217225,550369,39.46898,5,6.342469,1.73434,10.40604,0,1
19,"Iowa",-.037,.013,-.032,.011,.005,-.002,1,0,30,7,1116063,718215,371686,26162,64.35255,1479228,1038175,412365,13470,70.18357,,,,,,70.18357,2978880,72103,2.420474,1948253,471041,24.17761,1,.0000101,2.35e-06,0,29.7888,1.00709,.2349876,"Grassley, Charles E. *",197194,201120,98.04793,1,2.97888,2.349876,10.0709,1,1
20,"Kansas",.425,-.101,.44,.291,.015,.392,0,1,28,8,837692,587175,220971,29546,70.09438,1129022,780863,310337,15980,69.16278,,,,,,69.16278,2777835,157121,5.65624,1775427,512128,28.84534,1,.0000101,2.88e-06,0,27.77835,1.007979,.2879941,"Moran, Jerry",163483,328719,49.73336,4,2.777835,2.879941,10.07979,1,1
21,"Kentucky",.587,.001,.763,-.045,.176,-.046,0,1,37,8,1356468,755411,599843,1214,55.68956,1724362,873507,850855,0,50.65682,,,,,,50.65682,4252000,318974,7.50174,2825618,565885,20.02695,1,8.70e-06,1.88e-06,0,42.52,.8701788,.1881468,"Paul, Rand",206986,352275,58.75694,6,4.252,1.881468,8.701788,1,1
22,"Louisiana",.1925,.5725,.193,.586,.0005,.0135,1,0,27,4,1264994,715415,476572,73007,56.55481,1848056,943014,542150,87071,51.02735,,,,,,51.02735,4411546,1405639,31.86273,2814791,581076,20.64366,1,6.12e-06,9.07e-07,0,44.11546,.6120303,.0906712,"Vitter, David B. *",85225,97298,87.59173,3,4.411546,.9067116,6.120303,1,1
24,"Maryland",-.43,.0435,-.43,.0435,0,0,1,0,32,7,1833858,655666,1140531,37661,35.75337,2323183,783055,1504691,10621,33.70613,,,,,,33.70613,5637418,1625880,28.84086,3738604,1314845,35.16941,0,5.68e-06,1.24e-06,0,56.37418,.5676358,.1241703,"0",0,0,0,0,5.637418,1.241703,5.676358,0,0
25,"Massachusetts",-.2913333,-.26,-.1605,-.3205,.1308334,-.0605,0,1,73,5,2252582,1168178,1060861,23543,51.85951,0,0,0,0,,2165490,661532,1500738,3220,30.54884,30.54884,6511176,399224,6.131365,4416135,1668273,37.77677,1,.0000112,7.68e-07,0,65.11176,1.121149,.076791,"0",0,0,0,0,6.511176,.7679104,11.21149,0,1
29,"Missouri",.0515,.4275,.0895,.7925,.038,.365,0,1,87,10,1857379,1032294,727288,97797,55.578,2566442,1474971,1063017,9965,57.47143,,,,,,57.47143,5904382,658633,11.15499,3883907,955201,24.59382,1,.0000147,1.69e-06,0,59.04382,1.473482,.1693657,"Blunt, Roy",411040,579348,70.94872,9,5.904382,1.693657,14.73482,1,1
32,"Nevada",.1195,.045,.2213333,.2153333,.1018333,.1703333,0,1,10,13,721404,321361,362785,37258,44.54661,810068,284640,494805,17655,35.13779,,,,,,35.13779,2545763,190093,7.467034,1664181,357503,21.48222,1,3.93e-06,5.11e-06,1,25.45763,.3928095,.5106524,"Angle, Sharron E.",70424,175674,40.08789,12,2.545763,5.106524,3.928095,0,0
33,"New Hampshire",.027,-.5235,.0695,-.231,.0425,.2925,0,1,13,6,455149,273218,167545,14386,60.02826,657086,434847,221549,102,66.17809,,,,,,66.17809,1315419,14227,1.081557,889457,288579,32.4444,1,9.88e-06,4.56e-06,0,13.15419,.9882783,.4561284,"Ayotte, Kelly",53056,138861,38.20799,4,1.315419,4.561285,9.882783,1,1
36,"New York",-.4475,-.1075,-.4525,-.1075,-.005,0,1,0,131,20,4596796,1480423,3047880,68493,32.20554,6702875,1625069,4769824,87022,24.24436,,,,,,24.24436,19400000,3024739,15.57226,13000000,4154718,31.84257,0,6.74e-06,1.03e-06,1,194.239,.674427,.102966,"0",0,0,0,0,19.4,1.030928,6.752577,0,0
37,"North Carolina",.1545,.02,.1545,.02,0,0,1,0,102,17,2660079,1458046,1145074,56959,54.81213,3472082,1791450,1632527,362,51.59584,,,,,,51.59584,9045705,1909832,21.11314,5940248,1532693,25.80184,1,.0000113,1.88e-06,0,90.45705,1.127607,.1879345,"Burr, Richard M. *",297993,371968,80.11253,4,9.045705,1.879345,11.27607,1,1
38,"North Dakota",-.3105,.711,.021,.415,.3315,-.296,0,1,1,3,238812,181689,52955,4168,76.08035,310696,98553,212143,0,31.72007,,,,,,31.72007,639725,6029,.9424362,408469,104570,25.60047,1,1.56e-06,4.69e-06,0,6.39725,.1563172,.4689515,"Hoeven, John",65075,65205,99.80063,1,.639725,4.689515,1.563172,0,1
39,"Ohio",-.1945,-.4115,-.0485,-.0365,.146,.375,0,1,100,33,3815098,2168742,1503297,143059,56.8463,5426196,3464651,1961249,0,63.85046,,,,,,63.85046,11500000,1349893,11.72611,7671550,1807873,23.56594,1,8.69e-06,2.87e-06,0,115.1186,.8686695,.2866609,"Portman, Rob",667369,667369,100,1,11.5,2.869565,8.695652,1,1
40,"Oklahoma",.7525,.0905,.7539999,.1135,.0015,.023,1,0,29,21,1017151,718482,265814,32855,70.63671,1446846,763433,596750,0,52.76532,,,,,,52.76532,3610073,264756,7.333813,2324261,520755,22.40519,1,8.03e-06,5.82e-06,0,36.10073,.8033078,.5817057,"Coburn, Tom *",223997,247902,90.35708,3,3.610073,5.817057,8.033078,1,1
41,"Oregon",-.413,-.0405,-.4155,-.036,-.0025,.0045,0,1,46,16,1442588,566199,825507,50882,39.24884,1780550,565254,1128728,43515,31.74603,,,,,,31.74603,3727407,64995,1.743706,2506582,708258,28.25593,1,.0000123,4.29e-06,0,37.27407,1.234102,.4292528,"Huffman, Jim",110450,264841,41.70427,7,3.727407,4.292528,12.34102,0,0
42,"Pennsylvania",-.211,.0333333,.1545,.105,.3655,.0716667,0,1,125,22,3977661,2028945,1948716,0,51.0085,5558525,2925080,2334126,79263,52.62331,,,,,,52.62331,12500000,1300350,10.38901,8510688,2210085,25.96835,1,9.99e-06,1.76e-06,0,125.166,.998674,.1757666,"Toomey, Pat",671591,828217,81.08878,2,12.5,1.76,10,0,1
45,"South Carolina",.674,-.26,.677,-.2645,.003,-.0045,1,0,57,13,1318794,810771,364598,143425,61.47821,1597221,857167,704384,22206,53.66615,,,,,,53.66615,4416867,1245855,28.20676,2915965,684024,23.4579,1,.0000129,2.94e-06,0,44.16867,1.290507,.2943263,"Demint, Jim *",342464,412658,82.98979,2,4.416867,2.943263,12.90508,1,1
46,"South Dakota",.083,.3465,.084,.3465,.001,0,1,0,3,8,227947,227947,0,0,100,391188,197848,193340,0,50.57619,,,,,,50.57619,796513,7547,.9475049,513787,126379,24.59755,1,3.77e-06,1.00e-05,0,7.96513,.3766417,1.004378,"0",0,0,0,0,.796513,10.04378,3.766417,1,1
49,"Utah",.362,-.2105,.6835,-.037,.3215,.1735,0,1,19,5,633829,390179,207685,35965,61.55903,911726,626640,258955,8842,68.73118,,,,,,68.73118,2651816,27229,1.026806,1485345,426600,28.7206,1,7.16e-06,1.89e-06,1,26.51816,.7164901,.18855,"Lee, Mike",98512,192417,51.19714,2,2.651816,1.8855,7.164902,1,1
50,"Vermont",-.5445,.3015,-.5475,.3015,-.003,0,1,0,13,1,235178,72699,151281,11198,30.91233,307208,75398,216972,8352,24.54298,,,,,,24.54298,620414,4820,.7769006,421096,138624,32.91981,0,.000021,1.61e-06,0,6.20414,2.095375,.1611827,"0",0,0,0,0,.620414,1.611827,20.95375,0,0
53,"Washington",-.373,-.161,-.3715,-.1585,.0015,.0025,0,1,51,28,2511094,1196164,1314930,0,47.63517,2818651,1204584,1549708,30304,42.73619,,,,,,42.73619,6465755,220417,3.408991,4289438,1320539,30.78583,1,7.89e-06,4.33e-06,0,64.65755,.788771,.4330508,"Rossi, Dino (R)",483305,1450126,33.32848,6,6.465755,4.330507,7.88771,0,0
54,"West Virginia",-.4145,.59725,-.255,.6435,.1595,.04625,0,1,35,4,529948,230013,283358,16577,43.40294,0,0,0,0,,459884,155043,296276,8565,33.7135,33.7135,1811403,59677,3.294518,1253685,214180,17.08404,1,.0000193,2.21e-06,0,18.11403,1.932204,.2208233,"Raese, John R.",38568,54084,71.31129,10,1.811403,2.208233,19.32204,0,0
55,"Wisconsin",-.336,-.478,.2035,-.1155,.5395,.3625,0,1,41,14,2171331,1125999,1020958,24374,51.85755,2949743,1301183,1632697,7496,44.11174,,,,,,44.11174,5599420,332660,5.940972,3693307,940212,25.45719,1,7.32e-06,2.50e-06,0,55.9942,.7322187,.2500259,"Johnson, Ron",504644,595830,84.69597,4,5.59942,2.500259,7.322187,0,1
